Genotype,Evo.trt,Index,Gene,repsWithMutation,pvalue,padj,significant
ypt6,NL,485,YPL110C,2,0.045174538,0.046787914,1
ypt6,NL,486,YER011W,3,0.001493373,0.005413478,1
ypt6,NL,487,YBR289W,2,0.012880343,0.016978635,1
ypt6,NL,488,YLR451W,2,0.000186672,0.000773354,1
ypt6,NL,489,YBR212W,3,0.007093522,0.010285608,1
ypt6,NL,490,YKL068W,2,0.008586896,0.011858094,1
ypt6,NL,491,YPL051W,4,0,0,1
BY4742,L,492,YGR184C,2,0.075788688,0.075788688,0
BY4742,L,493,YDR457W,2,0.053948105,0.055072024,0
BY4742,L,494,YKL101W,2,0.052641404,0.054881464,0
BY4742,L,495,YOR328W,2,0.048907971,0.052097621,0
JD174,L,496,YNL262W,2,0.071121897,0.073153951,0
JD174,L,497,YEL022W,2,0.050774687,0.055390568,0
JD174,L,498,YDR457W,2,0.147470599,0.147470599,0
JD174,L,499,YOL004W,2,0.054881464,0.058109785,0
pmr1,L,500,YKL182W,2,0.060481613,0.061825649,0
pmr1,L,501,YOL081W,2,0.096322569,0.096322569,0
rpl19a,L,502,YIR006C,2,0.056188165,0.060402277,0
rpl19a,L,503,YMR207C,2,0.066268434,0.06950104,0
rpl19a,L,504,YLR305C,2,0.073361956,0.074295315,0
rpl19a,L,505,YDL171C,2,0.074295315,0.074295315,0
sch9,L,506,YLR106C,2,0.216912451,0.216912451,0
sch9,L,507,YLR430W,2,0.094269181,0.096686339,0
sch9,L,508,YMR207C,2,0.078588762,0.082725013,0
sch9,L,509,YPR117W,2,0.050214672,0.054286132,0
tif2,L,510,YOL155C,2,0.037334329,0.071001109,0
tif2,L,511,YFL033C,2,0.156244167,0.158848236,0
tif2,L,512,YML017W,2,0.047787941,0.074557544,0
tif2,L,513,YCR032W,2,0.14299048,0.147837615,0
tif2,L,514,YAL021C,2,0.032667538,0.071001109,0
tif2,L,515,YDL005C,2,0.014373717,0.054799795,0
tif2,L,516,YPR204W,3,0.049094643,0.074557544,0
tif2,L,517,YKL101W,2,0.132910211,0.139784877,0
tif2,L,518,YBL088C,2,0.127683405,0.136643644,0
tif2,L,519,YMR189W,2,0.032294195,0.071001109,0
tif2,L,520,YGR255C,2,0.046667911,0.074557544,0
tif2,L,521,YJL129C,3,0.035094269,0.071001109,0
tif2,L,522,YLR224W,2,0.03061415,0.071001109,0
tif2,L,523,YHR098C,2,0.06010827,0.08223923,0
tif2,L,524,YDR103W,2,0.072988613,0.091560537,0
tif2,L,525,YMR307W,2,0.044801195,0.074557544,0
tif2,L,526,YDR365C,2,0.036960986,0.071001109,0
tif2,L,527,YAL015C,2,0.011760314,0.053681432,0
tif2,L,528,YML117W,2,0.033040881,0.071001109,0
tif2,L,529,YDR356W,2,0.073548628,0.091560537,0
tif2,L,530,YDR093W,2,0.051334702,0.074557544,0
tif2,L,531,YDR222W,2,0.025574015,0.071001109,0
tif2,L,532,YNL102W,2,0.109762927,0.121737065,0
tif2,L,533,YHR054C,2,0.012320329,0.053681432,0
tif2,L,534,YMR317W,3,0.037147657,0.071001109,0
tif2,L,535,Q0140,4,0.01362703,0.054799795,0
tif2,L,536,YKL010C,2,0.095575882,0.11000243,0
tif2,L,537,YBR212W,2,0.039574389,0.071001109,0
tif2,L,538,YKR089C,2,0.081388837,0.095475367,0
tif2,L,539,YHL007C,2,0.079522121,0.095114693,0
tif2,L,540,YGR125W,3,0.037334329,0.071001109,0
tif2,L,541,YLL015W,2,0.09762927,0.110284916,0
tif2,L,542,YML080W,2,0.028747433,0.071001109,0
tif2,L,543,YHR015W,2,0.051148031,0.074557544,0
tif2,L,544,YGL111W,2,0.032667538,0.071001109,0
tif2,L,545,YMR155W,2,0.037707672,0.071001109,0
tif2,L,546,YKR093W,2,0.027627403,0.071001109,0
tif2,L,547,YIL109C,2,0.060668284,0.08223923,0
tif2,L,548,YJR061W,2,0.075788688,0.092462199,0
tif2,L,549,YNR016C,2,0.01586709,0.056934852,0
tif2,L,550,YLL021W,2,0.066455105,0.086250243,0
tif2,L,551,YGL140C,2,0.056934852,0.080768045,0
tif2,L,552,YIL101C,2,0.038454359,0.071001109,0
tif2,L,553,YKL121W,2,0.063468359,0.084164563,0
tif2,L,554,YLL034C,2,0.050588016,0.074557544,0
